time                   Mass                   Q                   dMdt                dQdt                    fM                      hM                      delta_t               
2.4005036048168267e-13 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.245027575026959e-13 
4.826710130243396e-13  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.426206525426569e-13 
1.0027499288896772e-12 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     5.200789158653376e-13 
2.0162366055859228e-12 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.0134866766962454e-12
4.188735304836083e-12  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.1724986992501603e-12
8.42232066979263e-12   1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     4.233585364956546e-12 
1.7497386884293254e-11 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     9.075066214500623e-12 
3.51821236001229e-11   1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.7684736715829647e-11
7.30909273319715e-11   1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.7908803731848605e-11
1.4696446140476875e-10 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     7.387353407279724e-11 
3.0531894239837076e-10 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.58354480993602e-10  
6.139070273722281e-10  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.085880849738574e-10 
1.2753929932215183e-09 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     6.614859658492902e-10 
2.564442006282047e-09  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.2890490130605285e-09
5.327633046220141e-09  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.763191039938095e-09 
1.0712310676314294e-08 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     5.384677630094152e-09 
2.2254845389641446e-08 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.154253471332715e-08 
4.4747980162845676e-08 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.2493134773204227e-08
9.296401216450819e-08  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     4.821603200166251e-08 
1.869234182202952e-07  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     9.395940605578702e-08 
3.8833374963572663e-07 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     2.0141033141543142e-07
7.808255065816452e-07  1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     3.9249175694591865e-07
1.6221664447881567e-06 1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     8.413409382065115e-07 
3.26170191800123e-06   1e+17                  0.2                 -1701805.5188271403 0.0                     3.0207784500610296e+111 0.0                     1.639535473213073e-06 
