time                   Mass                   Q                     dMdt                    dQdt                    fM                     hM                     delta_t               
0.0003094850098213451  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.00015474250491067255
0.0006189700196426902  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.0003094850098213451 
0.0012379400392853804  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.0006189700196426902 
0.0024758800785707608  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.0012379400392853804 
0.0049517601571415215  1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.0024758800785707608 
0.009903520314283043   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.0049517601571415215 
0.019807040628566086   1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.009903520314283043  
0.03961408125713217    1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.019807040628566086  
0.07922816251426434    1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.03961408125713217   
0.1584563250285287     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.07922816251426434   
0.3169126500570574     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.1584563250285287    
0.6338253001141148     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.3169126500570574    
1.2676506002282295     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    0.6338253001141148    
2.535301200456459      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1.2676506002282295    
5.070602400912918      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2.535301200456459     
10.141204801825836     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5.070602400912918     
20.282409603651672     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    10.141204801825836    
40.564819207303344     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    20.282409603651672    
81.12963841460669      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    40.564819207303344    
162.25927682921338     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    81.12963841460669     
324.51855365842675     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    162.25927682921338    
649.0371073168535      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    324.51855365842675    
1298.074214633707      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    649.0371073168535     
2596.148429267414      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1298.074214633707     
5192.296858534828      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2596.148429267414     
10384.593717069656     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5192.296858534828     
20769.187434139312     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    10384.593717069656    
41538.374868278624     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    20769.187434139312    
83076.74973655725      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    41538.374868278624    
166153.4994731145      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    83076.74973655725     
332306.998946229       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    166153.4994731145     
664613.997892458       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    332306.998946229      
1329227.995784916      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    664613.997892458      
2658455.991569832      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1329227.995784916     
5316911.983139664      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2658455.991569832     
10633823.966279328     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5316911.983139664     
21267647.932558656     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    10633823.966279328    
42535295.86511731      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    21267647.932558656    
85070591.73023462      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    42535295.86511731     
170141183.46046925     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    85070591.73023462     
340282366.9209385      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    170141183.46046925    
680564733.841877       1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    340282366.9209385     
1361129467.683754      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    680564733.841877      
2722258935.367508      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    1361129467.683754     
5444517870.735016      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    2722258935.367508     
10889035741.470032     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    5444517870.735016     
21778071482.940063     1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    10889035741.470032    
43556142965.88013      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    21778071482.940063    
87112285931.76025      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    43556142965.88013     
174224571863.5205      1e+17                  0.7                   -5.210423980556048e-36  0.0                     9.248728072636865e+69  0.0                    87112285931.76025     
